nome;Indirizzo;Colore Pin;Nascosto;Referente;Email;Telefono;Cellulare;Mandanti;P.IVA/C.F.;Freezco ;consegna;bonifico;fattura;incasso;incasso mancato;proroga;Visite Totali;visita dal cliente;telefonata;email;altro;Ultima Visita;Latitudine;Longitudine;Note;GentmoID
ANGRY MONKEY BAR;Viale delle Provincie, 56, 00162 Roma RM, Italia;rosso;;;;+39 06 3032 8071;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9114738;12.5207033;;gentmo.c.-OGeau0Cq4kuXj75bwsQ
ANTIGALLERY* Monti • Art Gallery & Cocktail Bar;P.za degli Zingari, 3, 00184 Roma RM, Italia;rosso;;;;+39 366 870 4578;;;;0;24;0;0;0;0;0;24;16;0;0;8;23/12/25;41.8955831;12.4929962;;gentmo.c.-OSinsTFCkgkuBBI8g_K
APS Orti Sociali Arvalia;Via Paláia, 91, 00149 Roma RM, Italia;rosso;;;;+39 333 386 5070;;;;0;4;0;0;0;0;0;4;3;0;0;1;17/07/25;41.8499225;12.4424061;;gentmo.c.-OTmxebnHXlwVpemjAei
ASPRO cucina salotto spiriti;Piazzetta Giovanni Battista Morgagni, 277/D, 00198 Roma RM, Italia;rosso;;;;+39 06 8769 6670;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.9094682;12.5115794;Simone;gentmo.c.-O_HyD0cQbTU9Io7oTk-
ATALDEGH cucina modenese e romana con cocktail bar;Via Tripolitania, 162, 00199 Roma RM, Italia;rosso;;;;+39 06 8879 8350;;;;0;35;0;0;1;0;0;35;18;0;0;17;27/10/25;41.9304355;12.5231142;;gentmo.c.-ODCmdjeNnj41lq9S-XG
AWO Bistrot;Vicolo del Cinque 30, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;28;0;1;0;0;0;30;5;0;0;25;20/11/25;41.89126;12.4698957;;gentmo.c.-OUl3a6PdLNtqtUfeLx8
AYAHUASCA;Vicolo del Cinque, 17, 00153 Roma RM, Italia;rosso;;;;;;;;0;105;39;40;1;0;0;111;48;0;0;63;07/11/25;41.89091769999999;12.4694608;;gentmo.c.-ODHQHKKOubrZzuoMvci
Agorà;Via di Boccea, 632, 00166 Roma RM, Italia;rosso;x;;;+39 06 6156 6459;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9200005;12.3775873;;gentmo.c.-OKQYRllDfSzg_OBu_8x
Agorá birroteca e cucineria;Largo Catone, 15, 00071 Pomezia RM, Italia;rosso;x;;;+39 06 8953 1116;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.67034;12.50126;;gentmo.c.-OKQYaQYvAcWQbF3TvdR
Albergo Etico Roma;Via Giuseppe Pisanelli, 39/41, 00196 Roma RM, Italia;rosso;;;;+39 06 4566 6730;;;;0;5;2;2;0;0;0;5;1;0;0;4;25/06/25;41.9145297;12.4727671;;gentmo.c.-OSQ4PnvrygWTYtnEFXG
Almalu Trastevere;Via della Scala, 77, 00153 Roma RM, Italia;rosso;;;;+39 328 923 4381;;;;0;19;7;7;0;0;0;20;12;0;0;8;21/12/25;41.89044150000001;12.4687258;;gentmo.c.-ODHTxcQB8I4wqS4Z4IA
Amica Primo;Largo Alberto Pepere 13, 00151 Roma Lazio, Italia;rosso;;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8700178;12.4398606;;gentmo.c.-OaKg8-7gtX4XEol580r
Amico simone polibox;Via di Monte Verde 6D, 00152 Roma Lazio, Italia;rosso;;;;;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8721864;12.456865;;gentmo.c.-OgIASJhl_EN1khpRAXr
Angeli Rock;Via Ostiense, 193C, 00154 Roma RM, Italia;rosso;;;;+39 06 8670 8250;;;;0;5;0;0;0;0;0;5;5;0;0;0;28/11/25;41.86029970000001;12.4785922;;gentmo.c.-OQJtjgqgJasXqoLajqK
Angelo Mai - Circolo Arci;Viale delle Terme di Caracalla, 55, 00153 Roma RM, Italia;rosso;;;;;;;;0;17;4;5;0;0;0;18;12;0;0;6;29/11/25;41.8784083;12.4958827;;gentmo.c.-OPvTCmuTQHtr5WzW1AF
Angolo degli Artisti;Piazza del Popolo, 19, 00187 Roma RM, Italia;rosso;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;1;;41.910145;12.4771314;;gentmo.c.-OZaCJtlhxTxCzQeuyw6
Anima Mundi;Via del Velabro, 1, 00186 Roma RM, Italia;rosso;;;;+39 06 9603 0061;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.889383;12.4835279;;gentmo.c.-OEMcIuuccQZyyIDNR5S
Anime Japan Club;Via Riano, 36, 00191 Roma RM, Italia;rosso;;;;+39 06 3397 6205;;;;0;1;0;0;0;0;0;1;1;0;0;0;03/06/25;41.9378056;12.4696763;;gentmo.c.-ORcBxu1tP3So_wM3S--
Antica Dimora Delle Cinque Lune;Via Giuseppe Zanardelli, 23, 00186 Roma RM, Italia;rosso;;;;+39 06 4542 9400;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.900574;12.472461;;gentmo.c.-OZvaKk-0yuHIJjfTY5L
Antica Pizzeria Frontoni;Via Assisi, 117, 00181 Roma RM, Italia;rosso;;;;+39 06 7834 9259;;;;0;18;1;2;1;0;0;19;11;0;0;8;18/11/25;41.8811623;12.5277356;;gentmo.c.-OKRJR3MaVwLokLzYIMk
Antichi Sapori Levapan srl;Via Giuditta Rissone, 13, 00125 Roma RM, Italia;rosso;;;;+39 06 5245 8276;;;;0;2;0;0;0;0;0;2;2;0;0;0;06/06/25;41.7872222;12.3913889;;gentmo.c.-ONf4U2Ggsk85mNbvW6h
Antico Forno Santini;Via della Lungaretta, 28, 00153 Roma RM, Italia;rosso;;;;+39 06 6975 8366;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8893767;12.4752296;;gentmo.c.-ODHlMPtKh0aRkV0K1Jp
Arcade Club;Via Merulana, 111, 00185 Roma RM, Italia;rosso;;;;+39 329 127 2581;;;;0;29;0;0;0;0;0;31;22;0;0;9;22/12/25;41.89054960000001;12.5029379;;gentmo.c.-ODHTsnwg5Ufjli8_T7R
Argot;00186, Via dei Cappellari, 93, 00186 Roma RM, Italia;rosso;;;;+39 06 4555 1966;;;;0;39;21;22;0;0;0;39;19;0;0;20;21/11/25;41.8965034;12.4703384;;gentmo.c.-ODHUIvecNvi7QsqRQi5
Argot Prati;Via Alessandro Farnese, 2g, 00192 Roma RM, Italia;rosso;;;;+39 06 323 0829;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9090625;12.4689469;;gentmo.c.-ODHUMVS-TTicA0SbNWL
Aria luxory cocktail bar;Via Benedetto Croce 85, 00142 Roma Lazio, Italia;rosso;;;;;;;;0;22;18;18;0;0;0;23;1;0;0;22;31/10/25;41.8422852;12.4851247;;gentmo.c.-O_nES4o-R7j4hEDcOLs
Aristocampo;Piazzale di Ponte Milvio, 38/39, 00135 Roma RM, Italia;rosso;;;;+39 06 3322 5233;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9374109;12.4666772;;gentmo.c.-ODCn_kMfxW6d5c0dtV8
Aroma Restaurant;Via Labicana, 125, 00184 Roma RM, Italia;rosso;;;;+39 06 9761 5109;;;;0;169;89;88;0;0;0;188;49;0;0;139;27/10/25;41.8901781;12.4955196;;gentmo.c.-OEpFadVes_OPbxoMQwM
Artico Alimenti Surgelati e Congelati;Via Adua, 7, 00042 Anzio RM, Italia;rosso;;;;+39 320 413 6586;;;;0;16;0;0;2;2;0;21;21;0;0;0;28/06/25;41.4460869;12.6278933;;gentmo.c.-OKQWAHOOUPb4Q3E-c2y
Atelier Montez;Via di Pietralata, 147/A-B, 00158 Roma RM, Italia;rosso;;;;+39 06 540 4173;;;;0;1;0;0;0;0;0;1;1;0;0;0;24/05/25;41.926271;12.536685;;gentmo.c.-OQyPMvGx4fhLdLFzx1q
Azul;Viale della Pesca, 117, 00054 Fiumicino RM, Italia;rosso;;;;+39 331 705 8745;;;;0;84;13;15;0;0;0;93;61;0;0;32;27/10/25;41.781119;12.2247127;;gentmo.c.-OKQXJdzI7b51uYWCFy4
BAUHAUS ROME;Piazza Eugenio Biffi, 3, 00154 Roma RM, Italia;rosso;;;;+39 06 8538 8481;;;;0;0;0;0;0;0;0;1;1;0;0;0;19/12/25;41.86654920000001;12.4900127;;gentmo.c.-OhBlW3Af8TjGfY0Ge0l
BEVO by Mangio - Lunenedi Chiuso ;Via Alberto da Giussano, 64c, 00176 Roma RM, Italia;rosso;;;;+39 06 6934 0089;;;;0;91;1;0;2;0;0;93;38;0;0;55;21/12/25;41.8892096;12.5345783;;gentmo.c.-OKQ_pH0Co069xacctn2
BIFFI;Piazza Eugenio Biffi, 11, 00154 Roma RM, Italia;rosso;;;;+39 06 5143 5360;;;;0;1;0;0;0;0;0;1;1;0;0;0;25/09/25;41.8667445;12.4898635;;gentmo.c.-O_lG0-TC9sa1FoOjVLS
BIG MUFF;Via Pasquale Fiore, 28, 00165 Roma RM, Italia;rosso;x;;;+39 06 3105 7984;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8974205;12.4298237;;gentmo.c.-ODXTH9Gx8_8iqLBtl0D
Baccano;Via delle Vergini 13, 00187 Roma Lazio, Italia;nero;;;;;;;;1;1;0;0;0;0;0;1;0;0;0;1;;41.9002902;12.482445;;gentmo.c.-ObgcH1J7WND54jn2WTw
Bacco In Trastevere;P.za di S. Giovanni della Malva, 14, 00153 Roma RM, Italia;rosso;;;;+39 389 948 4851;;;;0;38;0;0;0;0;0;44;19;0;0;25;11/09/25;41.8920491;12.4688397;;gentmo.c.-ODI6awFcTSwYEA2Ofha
Bakery M;Via Alessandria, 177, 00198 Roma RM, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;17/07/25;41.9135251;12.5049573;;gentmo.c.-OISCHq2K-j0EPHvUCST
Bakery M Ostia;Via dei Misenati, 7/9, 00122 Lido di Ostia RM, Italia;rosso;;;;;;;;1;73;24;26;0;0;0;77;39;0;0;38;28/11/25;41.7302602;12.2787587;;gentmo.c.-OL64cZ-eQz_Bv0q7NZ0
Bakery M Prati;Via dei Gracchi, 187, 00192 Roma RM, Italia;rosso;;;;+39 345 168 3396;;;;0;8;0;0;0;0;0;9;8;0;0;1;14/07/25;41.9086037;12.4656678;;gentmo.c.-OMr8JlSOfRPBoFGDLHP
Bakery M Tiburtina;Via Tiburtina, 391/393, 00157 Roma RM, Italia;rosso;;;;;;;;0;74;0;0;0;0;0;80;43;0;0;37;08/12/25;41.908525;12.5362635;;gentmo.c.-OLsy6nkOZ3Joda0vXI3
Bali Bar and Restaurant;Via del Mattonato, 29, 00153 Roma RM, Italia;rosso;;;;+39 06 589 6089;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8904364;12.4672019;;gentmo.c.-ON1erRSzhjIQKRcC1DW
Bangla di fronte a b&b;Viale di Trastevere 249B, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8763115;12.4659462;;gentmo.c.-OYWBPRKAsIqHDELCjYG
Bangla via della cisterna ;Via della Cisterna, 00153 Roma Lazio, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8886538;12.4713183;;gentmo.c.-ObndcKK1-t1omoL5doy
Bar Belli;Piazza Giuseppe Gioachino Belli, 4, 00153 Roma RM, Italia;rosso;;;;+39 06 5833 0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.88965109999999;12.4747895;;gentmo.c.-ODHlJ0EFmZ4C47UXcPE
Bar Bellone;Via Galvani, 31, 00153 Roma RM, Italia;rosso;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8782919;12.4777827;;gentmo.c.-OKQZ8Zt_9cDmBmkJbdP
Bar Cinecittà;P.za di Cinecittà, 52, 00174 Roma RM, Italia;rosso;;;;+39 06 710 0007;;;;0;1;0;0;0;0;0;1;1;0;0;0;07/05/25;41.8532317;12.5676506;;gentmo.c.-OPc7qxoeRHJzOd68s-K
Bar Coppi;Largo dei Quintili, 16, 00175 Roma RM, Italia;rosso;x;;;+39 327 751 8713;;;;0;3;0;1;2;0;0;3;3;0;0;0;16/03/25;41.8646874;12.5475843;;gentmo.c.-OKQ_bDqLGsBcjlhzaKc
Bar Due Pini di Andrea Vinzani;Via degli Orti della Farnesina, 154, 00135 Roma RM, Italia;rosso;;;;+39 06 3991 8136;;;;0;3;0;0;0;0;0;3;1;0;0;2;27/10/25;41.9453756;12.460486;;gentmo.c.-OcQ-19tU24mGD3tpBxn
Bar Imperiale - Ostiense;Via del Gazometro, 22, 00154 Roma RM, Italia;rosso;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;0;08/07/25;41.87121939999999;12.47931;;gentmo.c.-OU_90E5ZsSg7SvVKGb7
Bar River;Lungotevere Maresciallo Diaz, 17, 00135 Roma RM, Italia;rosso;x;;;+39 06 323 6919;;;;0;1;0;0;0;0;0;1;1;0;0;0;26/03/25;41.9323933;12.4603832;;gentmo.c.-OKQarh84Z7kf3VdXAM7
Bar San Calisto;Piazza di S. Calisto, 3, 00153 Roma RM, Italia;rosso;;;;+39 06 583 5869;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8890617;12.4708035;;gentmo.c.-Oe4XRi2YMEw_g1UxdE5
Bar allo Statuto;Via Leopardi, 62, 00185 Roma RM, Italia;rosso;;;;+39 351 094 5139;;;;0;45;0;0;0;0;0;45;24;0;0;21;16/11/25;41.8947552;12.5020924;;gentmo.c.-OD7Q2tVhKmB1tPlN-2p
Bar bernasconi;Via Gregorio VII 215, 00165 Roma Lazio, Italia;rosso;;;;;;;;0;5;0;0;1;0;0;5;3;0;0;2;11/06/25;41.89537;12.4457133;;gentmo.c.-OL62T8g0puej12NMPI7
Bar del Cinque;Vicolo del Cinque, 5, 00153 Roma RM, Italia;rosso;;;;+39 06 580 9908;;;;0;2;0;0;0;0;0;2;1;0;0;1;23/03/25;41.890566;12.4690694;;gentmo.c.-ODHau4IkylhwzsW7SRt
Bar della Musica;Via Roberto Morra di Lavriano, 1, 00135 Roma RM, Italia;rosso;;;;;;;;0;3;0;0;0;0;0;5;5;0;0;0;28/06/25;41.92606289999999;12.4583124;;gentmo.c.-OQYrVVypiDN7st_0sdr
Bar desiré;Via Alberto da Giussano 62C, 00176 Roma Lazio, Italia;rosso;;;;;;;;0;5;0;0;0;0;0;5;0;0;0;5;;41.8893969;12.534561;;gentmo.c.-OW-nzMVTG-731zCFU6w
Bar f.lli Capone;Piazza Testaccio, 30, 00153 Roma RM, Italia;rosso;;;;+39 06 8865 5484;;;;0;1;0;0;1;0;0;1;1;0;0;0;11/03/25;41.8799674;12.4769198;;gentmo.c.-OKQZGFgBZtefpIoKmcU
Barbaro;Viale dei Colli Portuensi, 549/A, 00151 Roma RM, Italia;rosso;;;;;;;;0;24;0;0;1;0;0;27;15;0;0;12;31/08/25;41.85904490000001;12.4435361;;gentmo.c.-OL1dZoUIIseMqWWxlRJ
Barilò Coffee & Cocktail bar;Via Flavio Stilicone, 211, 00175 Roma RM, Italia;rosso;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.85885819999999;12.5619782;;gentmo.c.-OSlJ7xVA5MZT0KOyQmN
Baronato Quattro Bellezze Mar Giv Ven Sab;Via di Panico, 23, 00186 Roma RM, Italia;rosso;;;;+39 349 273 9585;;;;0;45;38;38;1;0;0;46;6;0;0;40;10/12/25;41.9003068;12.4676072;;gentmo.c.-OL5au6HL1fQobBWTF7x
Bartali;Via Giovannipoli, 30/32, 00145 Roma RM, Italia;rosso;;;;+39 328 191 8972;;;;0;68;32;31;0;0;0;76;41;0;0;35;17/12/25;41.8609899;12.4842362;;gentmo.c.-ODHQRwBk1WcU8cKqOs_
Beerland Trilussa;Via Di Ponte Sisto, 76, 00153 Roma RM, Italia;rosso;;;;+39 06 5820 0700;;;;0;3;0;0;0;0;0;3;3;0;0;0;07/05/25;41.89196090000001;12.4694589;;gentmo.c.-OMbwuwytfMJzX_A7SMZ
Belvedere Ritual;Piazza Ungheria, 14, 00071 Torvaianica RM, Italia;rosso;;;;+39 388 876 3999;;;;0;48;7;8;0;0;0;51;27;0;0;24;19/08/25;41.6201492;12.4622405;;gentmo.c.-OO2uVHKhV-pTt4gev9d
Bender;Via Nomentana, 434, 00141 Roma RM, Italia;rosso;;;;+39 06 829 2261;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9340634;12.5342343;;gentmo.c.-OIG1oToK-JgBtmf5Qip
Bernini House Naples;Via Gian Lorenzo Bernini, 45, 80129 Napoli NA, Italia;rosso;x;;;+39 333 578 5585;;;;0;0;0;0;0;0;0;0;0;0;0;0;;40.84451929999999;14.2314959;;gentmo.c.-ORZC4U3UoUlhJjCPo_U
Birra - Italian Craft Beer;Prenzlauer Allee 198, 10405 Berlin, Germania;rosso;x;;;+49 30 55243713;;;;0;0;0;0;0;0;0;0;0;0;0;0;;52.53861910000001;13.4234473;;gentmo.c.-OJu-DjpfhKOW0YNqJEC
Birreria Coaster;Via Eurialo, 83, 00181 Roma RM, Italia;rosso;;;;+39 375 602 3691;;;;0;8;0;0;0;0;0;9;8;0;0;1;10/08/25;41.8718918;12.5282834;;gentmo.c.-OM-2NQapgAOuYYNTR-G
Birreria Trilussa;Via Benedetta, 19, 00153 Roma RM, Italia;rosso;;;;+39 06 581 9067;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.89169;12.4690086;;gentmo.c.-ODHt7Jzstw47Ur2pzXM
Birrificio Marconi;Via Enrico Fermi, 71, 00146 Roma RM, Italia;rosso;;;;+39 06 8953 8496;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8647803;12.4717861;;gentmo.c.-OEG2VmQXuYk_VK6c_IY
Bistrot Alleria - La Caffetteria dal 1980;Via Francesco Pallavicini, 56/58/60/62, 00149 Roma RM, Italia;rosso;;;;+39 351 512 1832;;;;0;56;0;1;0;0;0;57;27;0;0;30;07/11/25;41.8583965;12.4546243;;gentmo.c.-OLitZxfKZIU690j25Bz
Bitterino;Largo Brindisi, 22, 00182 Roma RM, Italia;nero;;;;+39 334 332 6955;;;;1;0;0;0;0;0;0;1;0;0;0;1;;41.8856157;12.5117037;;gentmo.c.-OdTidyyk61OgjX-uu_F
Bixio Roma;Via Alessandro Poerio, 21, 00152 Roma RM, Italia;rosso;;;;+39 06 3397 1570;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8806744;12.4633354;;gentmo.c.-OgsPmP_YpwOIpcraRTy
Blackmarket Hall - Rione Monti;Via de' Ciancaleoni, 31, 00184 Roma RM, Italia;rosso;;;;+39 349 199 5295;;;;0;75;42;42;0;0;0;82;18;0;0;64;14/12/25;41.8967879;12.493582;;gentmo.c.-OROZPYsXW2G6VrQcMX_
Blind Pig;Via la Spezia, 72, 00182 Roma RM, Italia;rosso;;;;+39 06 8775 0714;;;;0;5;0;0;0;0;0;5;5;0;0;0;11/08/25;41.8867102;12.5191905;;gentmo.c.-ODSmI-1qux4HFaGFYfe
Bobble Bobble Trastevere & Gelateria Cucurucho 2;Viale di Trastevere, 249/B, 00153 Roma RM, Italia;rosso;;;;+39 06 7049 5967;;;;0;7;0;0;0;0;0;7;5;0;0;2;14/07/25;41.876363;12.465965;;gentmo.c.-OLsoMQ-oSe9uGYRmfaH
Bootleg;Viale Gottardo, 23/25, 00141 Roma RM, Italia;rosso;;;;+39 351 711 9383;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.93412550000001;12.5361164;;gentmo.c.-OIG-UPVZYx6qwAaFZqM
Borgo Ripa;Lungotevere Ripa, 3, 00153 Roma RM, Italia;rosso;;;;+39 331 473 6611;;;;0;8;1;1;0;0;0;10;6;0;0;4;20/07/25;41.88735709999999;12.4783808;;gentmo.c.-OQtwFvc9pcecldqzOAV
Bosco e Riviera;Lungomare Duca degli Abruzzi, 84, 00121 Lido di Ostia RM, Italia;rosso;;;;+39 320 174 9814;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.73810870000001;12.2491999;;gentmo.c.-OKQXkzJLMdO9BXRTrK7
Bottega Arconti;Via Pietro Blaserna, 90, 00146 Roma RM, Italia;rosso;;;;+39 338 735 5182;;;;0;4;0;0;0;0;0;4;3;0;0;1;13/07/25;41.8659055;12.4717651;;gentmo.c.-OMwUMs7P11HdEBj11D9
Bottega Mariani;Viale del Vignola, 107/109, 00196 Roma RM, Italia;rosso;;;;+39 06 323 2641;;;;0;9;0;0;0;0;0;11;3;0;0;8;03/07/25;41.926063;12.463352;;gentmo.c.-OTb88E1bIp1_cjxwsTp
Bum Bum Grande;Via del Moro, 43, 00153 Roma RM, Italia;rosso;;;;+39 06 5830 1756;;;;0;11;0;0;0;0;0;12;2;0;0;10;21/12/25;41.8906401;12.4707129;;gentmo.c.-ObBlZlsEwY_SsaypWy6
BumBum Bar Brasileiro;Via del Moro, 17, 00153 Roma RM, Italia;rosso;;;;+39 389 883 8551;;;;0;89;0;0;2;1;0;90;16;0;0;74;21/12/25;41.8908001;12.4706674;;gentmo.c.-OD7MP-rMhTz2PYd7L8U
BumBum Churrascaria;Via delle Salvinie, 7, 00172 Roma RM, Italia;blu;;;;+39 333 674 8050;;;;0;40;0;0;0;0;0;44;16;0;0;28;08/12/25;41.8830226;12.5713878;;gentmo.c.-OKQ_Dn3Majp2j7QW8vP
Buseto;Via del Pigneto, 24A, 00176 Roma RM, Italia;rosso;;;;+39 380 434 0445;;;;0;1;0;0;0;0;0;1;0;0;0;1;;41.8891843;12.5246759;;gentmo.c.-Oc7W6w23IG4ru7950B8
CAFFETTINO al Casaletto;Via Roberto Alessandri, 114, 00151 Roma RM, Italia;rosso;;;;+39 351 703 8849;;;;0;15;0;0;0;0;0;15;11;0;0;4;31/10/25;41.86850449999999;12.4392701;;gentmo.c.-ON68bJcUGATJzKuwreF
CAFFÈ VICOLO DEL CINQUE;Vicolo del Cinque, 46, 00153 Roma RM, Italia;rosso;;;;+39 06 581 4849;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8908261;12.4694856;;gentmo.c.-O_cqVKFtne-NQT524WA
CASALOCA Roma - Comida Contagiosa;Corso di Francia, 207, 00191 Roma RM, Italia;rosso;;;;+39 06 4006 9361;;;;0;0;0;0;0;0;0;1;1;0;0;0;04/12/24;41.944366;12.4690421;;gentmo.c.-OD7P3BiCEQiZq60CthX
COVOLOCO aperti dalle 19:00 alle 2:00;Via Federico Delpino, 84, 00171 Roma RM, Italia;blu;;;;+39 347 575 0600;;;;0;51;0;0;0;0;0;52;20;0;0;32;10/11/25;41.8909949;12.5631107;;gentmo.c.-OQxXgEp3EBNwmygPOaN
CULTO • Trastevere;Vicolo Del Quartiere, 7A, 00153 Roma RM, Italia;rosso;;;;+39 06 8922 2565;;;;0;0;0;0;0;0;0;1;1;0;0;0;19/06/25;41.8920393;12.4696423;;gentmo.c.-OT8HVNBOff8DPj0v4B1
Cabullo;Via della Lungaretta, 93, 00153 Roma RM, Italia;rosso;;;;+39 06 8693 2871;;;;0;11;1;1;1;0;0;11;4;0;0;7;09/12/25;41.8896472;12.4724134;;gentmo.c.-OD7N4fjC08sgu3WR2wS
Cabullo Campo De Fiori ;Largo dei Librari, 00186 Roma Lazio, Italia;rosso;;;;;;;;0;26;2;2;1;0;0;27;10;0;0;17;19/12/25;41.8946759;12.4735837;;gentmo.c.-OL6cdWxkraRhos8RoPd
Cafe Bamboo;Via Portuense 321D, 00149 Roma Lazio, Italia;rosso;;;;;;;;0;16;0;0;0;0;0;16;7;0;0;9;21/07/25;41.8658699;12.4607688;;gentmo.c.-ORNvUQMOVIqneLJ3Xnd
Caffetteria - Vendetta;Via Tor de' Schiavi, 386, 00171 Roma RM, Italia;rosso;;;;+39 06 8393 3216;;;;0;20;0;1;1;0;0;23;21;0;0;2;31/10/25;41.8929687;12.5599855;;gentmo.c.-OL4bVz73wQhHPj7wOW_
Caffè Ciccarelli;Via Leonardo Greppi, 84, 00149 Roma RM, Italia;rosso;;;;+39 06 8993 7494;;;;0;13;0;0;0;0;0;15;2;0;0;13;04/08/25;41.8625917;12.4581726;;gentmo.c.-OV8S8lyWtkpG_XZw62A
Caffè Perù;Via di Monserrato, 46, 00186 Roma RM, Italia;rosso;;;;+39 06 687 9548;;;;0;1;0;0;1;0;0;1;1;0;0;0;10/03/25;41.8954811;12.4701357;;gentmo.c.-OL6fVIyZfihJ1WSjoqE
Caffè Settimiano di Mella Valter e C. S.a.s.;Via di Porta Settimiana, 1, 00165 Roma RM, Italia;rosso;;;;+39 06 5833 2573;;;;0;28;0;0;3;1;0;31;6;0;0;25;25/06/25;41.8920614;12.4676232;;gentmo.c.-OL5QE5dYAdT0VZ2ZFlE
Caffè Venditti Trastevere;Piazza di Santa Rufina, 24, 00153 Roma RM, Italia;rosso;x;;;;;;;0;3;0;0;3;0;0;3;3;0;0;0;12/03/25;41.8894995;12.4721059;;gentmo.c.-ODCnAhbTtROc784C1oi
